Gloss,Prediction,Target
[QUESTION] 비행기 안 칼 가지다 가능,칼에 기내에 가져갈 수 있나요?,칼을 기내에 가져갈 수 있나요?
[QUESTION] 담배 라이터 비행기 안 가지다 가능,라이터를 기내에 가져갈 수 있나?,라이터를 기내에 가져갈 수 있나요?
[QUESTION] 손톱깍이 비행기 안 가지다 가능,손톱깍이를 기내에 가져갈 수?,손톱깍이를 기내에 가져갈 수 있나요?
[QUESTION] 골프채 비행기 안 가지다 가능,골프채를 기내에 가져갈 수 있나요?,골프채를 기내에 가져갈 수 있나요?
[QUESTION] 비행기 안 강아지 가지다 가능,반려견을 기내에 데려갈 수 있나요?,반려견를 기내에 데려갈 수 있나요?
[QUESTION] 비행기 안 강아지 가지다 가능,반려견을 기내에 데려갈 수 있나요?,반려견을 기내에 데려갈 수 있나요?
[STATEMENT] 공항 방문 농인 위하다 서비스 드리다,김포공항으로 와주셔서 고마워요.,공항을 이용하시는 농인들을 위한 서비스를 제공하고 있습니다.
[STATEMENT] 다시 수어 부탁,다시 수어 부탁드립니다.,다시 한 번 수어를 해주시기 바랍니다.
[STATEMENT] 확인 중,확인 중 있습니다.,확인 중입니다.
[QUESTION] 항공,항공사 카운터는 어디에 있나요?,항공사 카운터는 어디에 있습니까?
[QUESTION] 와이파이,와이파이를 어디에서 탈 수 있습니까?,와이파이 신청이 가능한가요?
[STATEMENT] 지금 시작 해라,지금 시작 해라.,지금부터 시작해라
[STATEMENT] 아프다,아픕다 아프다면서요.,아프다
[STATEMENT] 배 아프다,배도 아프다면서요.,배가 아파서 병원에 갔다
[STATEMENT] 입 모습 읽다 어렵다,입술을 너무 커서 읽기가 어렵다.,입모양을 제대로 읽을 수 없어서 어려웠다
[STATEMENT] 건강 위하다 운동 필요,건강을 위해려면 운동을 해야 한다고 말해.,건강을 위해 운동해야 한다
[STATEMENT] 사랑 사람 잊다 쉽다 어렵다,사랑하는 사람을 만났는데 쉽게 잊히지 않는다면서.,사랑했던 사람을 잊는건 어렵다
[STATEMENT] 나 자유 돌아다니다 원하다,자유롭게 돌아 다니고 싶다 고 말해 주세요.,자유롭게 돌아다니고 싶다
[STATEMENT] 자유 못하다 가두다 답답하다,자유를 못 못하고 가둬놨다니 답답.,자유롭지 못해 답답하다
[STATEMENT] 찾다,찾다세요.,찾다
[STATEMENT] 돈 잃어버리다 찾다 중에,잃어버린 돈을 찾고 있습니다.,돈을 잃어버려서 찾고 있어
[STATEMENT] 미용 배우다 중에,미용 배우기 위해 준비했다면서요.,미용을 배우고 있어
[STATEMENT] 부탁 제발,부탁입니다.니다.,제발 부탁해
[STATEMENT] 바람 심하다,바람이 심하다니깐 심하다.,바람이 쎄다
[STATEMENT] 빠르다,빠르다.,빠르다
[STATEMENT] 느리다,느리다다.,느리다
[STATEMENT] 사람 각각 성격 다르다,사람은 성격 성격이 다르다면서요.,사람들은 각각 성격이 다르다
[STATEMENT] 동시에,동시에 이루어 됩니다.,동시에
[STATEMENT] 따뜻하다,따뜻하다 켜주세요.,따뜻하다
[STATEMENT] 방 따뜻하다 기분 좋다,방이 너무 따뜻해서 기분이 좋다고 말해.,방이 너무 따뜻해서 기분이 좋다
[STATEMENT] 따뜻하다 다가오다 소풍 가다 원하다,따뜻하게 다가와 소풍을 가고 싶다 고.,봄이 오면 소풍가고 싶어
[STATEMENT] 너 때문에 못하다,너 때문에 못해서 미안해했다면서.,너 때문에 못했잖아
[STATEMENT] 나 돈 때문에 걱정 -중,내 돈이 때문에 걱정하고 있다 고 말해 주.,돈 때문에 걱정이 많아
[STATEMENT] 만나다 누구,만나서 뭐했어.,누구를 만나
[STATEMENT] 매일,매일매일해라.,매일
[QUESTION] #NAME?,창문 열어드릴까요?,#NAME?
[STATEMENT] 너 -보다 나 더 예쁘다,너보다 더 예뻐 보인다면서.,내가 너보다 이뻐
[STATEMENT] 나 덥다 날 싫다,나는  더워서 날 싫어해요.,나는 더운 날씨가 딱 질색이다
[STATEMENT] 같다,같다면서.,같다
[STATEMENT] 너 나 피 귀잡다 같다,너한테 피 좀 흘려봐라.,너랑 나는 혈액형이 똑같다
[STATEMENT] 너무 춥다 옷 두껍다 입다,너무 추워서 옷이 두껍다 입.,너무 추워서 옷을 두껍게 입었다
[STATEMENT] 너무 귀찮다,너무 귀워요.,너무 귀찮다
[STATEMENT] 기다리다,기다리다.,기다리다
[STATEMENT] 장소 기다리다,장소는 기다리겠습니다.,여기서 기다려
[STATEMENT] 아빠 일 생기다 모두 기억,아빠는 일이 생기면 모두 기억해낸.,아버지는 그 일을 기억하고 계셨다
[STATEMENT] 음성 작다 안들리다,음성이 안되네요.,목소리가 작아서 잘 안들린다
[STATEMENT] 방법 없다,방법이 없다 없습니다.,방법이 없어
[STATEMENT] 배고프다 먹다 뭐,배고픈데 뭐 먹을까요.,배고파 뭐 먹을거야
[STATEMENT] 감사 잘 먹다,감사합니다.이를 잘 먹었다면서요.,어머나 고마워요 잘 먹겠습니다
[STATEMENT] 포기 원하다,포기하고 싶습니다.,포기하고 싶다
[STATEMENT] 나쁘다 버릇 치료하다,나쁜 버 버릇을 치료하다니깐.,나쁜 버릇을 고치다
[STATEMENT] 아버지 쉬다 날 때문에 집 계시다,아버지도 쉬실때 집에 계시다면서.,아버지께서 공휴일이라 집에 계신다
[STATEMENT] 저기 방 부모님 계시다,저기 방에 부모님 계신데 가주세요.,지금 방에 부모님이 계셔
[STATEMENT] 인생 대하여 생각,인생에 대하여 생각해보자꾸나.,인생에 대하여 생각하다
[STATEMENT] 건강 돌보다,건강을 돌면 돌봐주세요.,건강을 돌보다
[STATEMENT] 여자 마음 좋다 돌보다 노력,그녀는 내 마음을 돌보는 노력을 기울이고 있다.,그 여자는 마음이 좋으니깐 친절히 돌봐줄거야
[STATEMENT] 아기 돌보다 힘 없어지다,아기를 돌보는 힘이 없어졌다고.,아기를 돌보면 힘이 빠지는 것 같다
[STATEMENT] 교통 법 지키다,교통 법 법을 지키다 사고를 당했어요.,교통법규를 지키다
[STATEMENT] 너무 기쁘다 눈물 흘리다,너무 기뻐어서 눈물까지 흘리고 있다고.,너무 기뻐서 눈물이 흘렀다
[STATEMENT] 다시 만나다 기쁘다,다시 만나어서 기쁘다 고 말해 주세요.,다시 만나게 되어 정말 기쁘다
[STATEMENT] 무섭다,무섭다요.,무섭다
[STATEMENT] 땀 때문에 안경 내려가다 불편하다,땀 때문에 안경을 벗으면 불편하다니.,땀 때문에 안경이 자꾸 흘러서 불편하다
[STATEMENT] 나다,난다다다와요.,나다
[STATEMENT] 사춘기 아들 턱 수염 나다,사춘기 아들 얼굴에 수염이 났.,사춘기가 된 아들의 턱에 수염이 나기 시작했다
