dataset,video_num,question_w_q_morph,question,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
NIA-2020,521,,FALSE,학교 도착,학교로 들어가주세요.
NIA-2020,522,,FALSE,학교 안 가다,학교로 들어가주세요.
NIA-2020,523,,FALSE,학교 가다,학교로 들어가주세요.
NIA-2020,524,,FALSE,저기 학교 가다,학교로 들어가주세요.
NIA-2020,525,,FALSE,학교 문 가다,학교로 들어가주세요.
NIA-2020,526,,FALSE,영수증,영수증을 주세요.
NIA-2020,527,,FALSE,영수증,영수증을 주세요.
NIA-2020,528,,FALSE,영수증,영수증을 주세요.
NIA-2020,529,,FALSE,영수증,영수증을 주세요.
NIA-2020,530,,FALSE,영수증 받다,영수증을 주세요.
NIA-2020,531,,FALSE,영수증 받다,영수증을 주세요.
NIA-2020,532,,FALSE,영수증 받다,영수증을 주세요.
NIA-2020,533,,FALSE,영수증 받다,영수증을 주세요.
NIA-2020,534,,FALSE,영수증 주세요,영수증을 주세요.
NIA-2020,535,,FALSE,영수증 주세요,영수증을 주세요.
NIA-2020,536,,TRUE,유리 내리다,창문을 열어드릴까요?
NIA-2020,537,,TRUE,차 유리 내리다,창문을 열어드릴까요?
NIA-2020,538,,TRUE,차 내리다,창문을 열어드릴까요?
NIA-2020,539,,TRUE,유리 내리다,창문을 열어드릴까요?
NIA-2020,540,,TRUE,내리다,창문을 열어드릴까요?
NIA-2020,541,,TRUE,유리 올리다,창문을 닫아드릴까요?
NIA-2020,542,,TRUE,차 유리 올리다,창문을 닫아드릴까요?
NIA-2020,543,,TRUE,차 올리다,창문을 닫아드릴까요?
NIA-2020,544,,TRUE,유리 올리다,창문을 닫아드릴까요?
NIA-2020,545,,TRUE,올리다,창문을 닫아드릴까요?
NIA-2020,546,,TRUE,좌회전 확인 맞다,좌회전 해드릴까요?
NIA-2020,547,,TRUE,좌회전 확인 맞다,좌회전 해드릴까요?
NIA-2020,548,,TRUE,좌회전 확인 맞다,좌회전 해드릴까요?
NIA-2020,549,,TRUE,좌회전 확인 맞다,좌회전 해드릴까요?
NIA-2020,550,,TRUE,좌회전 맞다,좌회전 해드릴까요?
NIA-2020,551,,TRUE,좌회전 맞다,좌회전 해드릴까요?
NIA-2020,552,,TRUE,좌회전 맞다,좌회전 해드릴까요?
NIA-2020,553,,TRUE,좌회전 맞다,좌회전 해드릴까요?
NIA-2020,554,,TRUE,우회전 확인 맞다,우회전 해드릴까요?
NIA-2020,555,,TRUE,우회전 확인 맞다,우회전 해드릴까요?
NIA-2020,556,,TRUE,우회전 확인 맞다,우회전 해드릴까요?
NIA-2020,557,,TRUE,우회전 확인 맞다,우회전 해드릴까요?
NIA-2020,558,,TRUE,우회전 맞다,우회전 해드릴까요?
NIA-2020,559,,TRUE,우회전 맞다,우회전 해드릴까요?
NIA-2020,560,,TRUE,우회전 맞다,우회전 해드릴까요?
NIA-2020,561,,TRUE,우회전 맞다,우회전 해드릴까요?
NIA-2020,562,,TRUE,유턴 맞다,유턴 해드릴까요?
NIA-2020,563,,TRUE,유턴 맞다,유턴 해드릴까요?
NIA-2020,564,,TRUE,유턴 맞다,유턴 해드릴까요?
NIA-2020,565,,TRUE,유턴 맞다,유턴 해드릴까요?
NIA-2020,566,,TRUE,유턴 맞다,유턴 해드릴까요?
NIA-2020,567,,TRUE,카드,카드 결제 되나요?
NIA-2020,568,,TRUE,카드 되다,카드 결제 되나요?
NIA-2020,569,,TRUE,카드 가능,카드 결제 되나요?
NIA-2020,570,,TRUE,카드,카드 결제 되나요?
NIA-2020,571,,FALSE,나사렛 가다,나사렛대학교로 가주세요.
NIA-2020,572,,FALSE,나사렛 가다,나사렛대학교로 가주세요.
NIA-2020,573,,FALSE,나사렛 내리다,나사렛대학교로 가주세요.
NIA-2020,574,,FALSE,나사렛 내리다,나사렛대학교로 가주세요.
NIA-2020,575,,FALSE,나사렛 차내리다,나사렛대학교로 가주세요.
NIA-2020,576,,FALSE,나사렛 차내리다,나사렛대학교로 가주세요.
NIA-2020,577,,FALSE,나사렛 도착,나사렛대학교로 가주세요.
NIA-2020,578,,FALSE,나사렛 목적,나사렛대학교로 가주세요.
NIA-2020,579,,FALSE,나사렛 곳,나사렛대학교로 가주세요.
NIA-2020,580,,FALSE,나사렛 가다,나사렛대학교로 가주세요.
NIA-2020,581,,FALSE,응급실 가다,응급실로 가주세요.
NIA-2020,582,,FALSE,응급실 가다,응급실로 가주세요.
NIA-2020,583,,FALSE,응급실 내리다,응급실로 가주세요.
NIA-2020,584,,FALSE,응급실 내리다,응급실로 가주세요.
NIA-2020,585,,FALSE,응급실 차내리다,응급실로 가주세요.
NIA-2020,586,,FALSE,응급실 차내리다,응급실로 가주세요.
NIA-2020,587,,FALSE,응급실 도착,응급실로 가주세요.
NIA-2020,588,,FALSE,응급실 목적,응급실로 가주세요.
NIA-2020,589,,FALSE,응급실 곳,응급실로 가주세요.
NIA-2020,590,,FALSE,응급실 가다,응급실로 가주세요.
NIA-2020,591,,FALSE,손바닥찍다 가다,이 주소로 가주세요.
NIA-2020,592,,FALSE,손바닥찍다 가다,이 주소로 가주세요.
NIA-2020,593,,FALSE,손바닥찍다 내리다,이 주소로 가주세요.
NIA-2020,594,,FALSE,손바닥찍다 내리다,이 주소로 가주세요.
NIA-2020,595,,FALSE,손바닥찍다 차내리다,이 주소로 가주세요.
NIA-2020,596,,FALSE,손바닥찍다 차내리다,이 주소로 가주세요.
NIA-2020,597,,FALSE,손바닥찍다 도착,이 주소로 가주세요.
NIA-2020,598,,FALSE,손바닥찍다 목적,이 주소로 가주세요.
NIA-2020,599,,FALSE,손바닥찍다 곳,이 주소로 가주세요.
NIA-2020,600,,FALSE,손바닥찍다 가다,이 주소로 가주세요.
NIA-2020,601,,FALSE,서울역 내리다 가다,서울역으로 가주세요.
NIA-2020,602,,FALSE,서울역 내리다 가다,서울역으로 가주세요.
NIA-2020,603,,FALSE,서울역 차내리다 가다,서울역으로 가주세요.
NIA-2020,604,,FALSE,서울역 차내리다 가다,서울역으로 가주세요.
NIA-2020,605,,FALSE,서울역 도착 가다,서울역으로 가주세요.
NIA-2020,606,,FALSE,서울역 목적 가다,서울역으로 가주세요.
NIA-2020,607,,FALSE,서울역 곳 가다,서울역으로 가주세요.
NIA-2020,608,,FALSE,서울역 가다 내리다,서울역으로 가주세요.
NIA-2020,609,,FALSE,서울역 가다 내리다,서울역으로 가주세요.
NIA-2020,610,,FALSE,서울역 가다 차내리다,서울역으로 가주세요.
NIA-2020,611,,FALSE,고속터미널 내리다 가다,고속버스터미널로 가주세요.
NIA-2020,612,,FALSE,고속터미널 내리다 가다,고속버스터미널로 가주세요.
NIA-2020,613,,FALSE,고속터미널 차내리다 가다,고속버스터미널로 가주세요.
NIA-2020,614,,FALSE,고속터미널 차내리다 가다,고속버스터미널로 가주세요.
NIA-2020,615,,FALSE,고속터미널 도착 가다,고속버스터미널로 가주세요.
NIA-2020,616,,FALSE,고속터미널 목적 가다,고속버스터미널로 가주세요.
NIA-2020,617,,FALSE,고속터미널 곳 가다,고속버스터미널로 가주세요.
NIA-2020,618,,FALSE,고속터미널 가다 내리다,고속버스터미널로 가주세요.
NIA-2020,619,,FALSE,고속터미널 가다 내리다,고속버스터미널로 가주세요.
NIA-2020,620,,FALSE,고속터미널 가다 차내리다,고속버스터미널로 가주세요.
NIA-2020,621,,FALSE,지름길 내리다 가다,지름길로 가주세요.
NIA-2020,622,,FALSE,지름길 내리다 가다,지름길로 가주세요.
NIA-2020,623,,FALSE,지름길 차내리다 가다,지름길로 가주세요.
NIA-2020,624,,FALSE,지름길 차내리다 가다,지름길로 가주세요.
NIA-2020,625,,FALSE,지름길 도착 가다,지름길로 가주세요.
NIA-2020,626,,FALSE,지름길 목적 가다,지름길로 가주세요.
NIA-2020,627,,FALSE,지름길 곳 가다,지름길로 가주세요.
NIA-2020,628,,FALSE,지름길 가다 내리다,지름길로 가주세요.
NIA-2020,629,,FALSE,지름길 가다 내리다,지름길로 가주세요.
NIA-2020,630,,FALSE,지름길 가다 차내리다,지름길로 가주세요.
NIA-2020,631,,TRUE,명동 가다,명동역으로 갈까요?
NIA-2020,632,,TRUE,명동 가다,명동역으로 갈까요?
NIA-2020,633,,TRUE,명동 내리다,명동역으로 갈까요?
NIA-2020,634,,TRUE,명동 내리다,명동역으로 갈까요?
NIA-2020,635,,TRUE,명동 차내리다,명동역으로 갈까요?
NIA-2020,636,,TRUE,명동 차내리다,명동역으로 갈까요?
NIA-2020,637,,TRUE,명동 도착,명동역으로 갈까요?
NIA-2020,638,,TRUE,명동 목적,명동역으로 갈까요?
NIA-2020,639,,TRUE,명동 곳,명동역으로 갈까요?
NIA-2020,640,,TRUE,명동 가다,명동역으로 갈까요?
NIA-2020,641,,TRUE,손바닥찍다 내리다 가다,이 주소로 갈까요?
NIA-2020,642,,TRUE,손바닥찍다 내리다 가다,이 주소로 갈까요?
NIA-2020,643,,TRUE,손바닥찍다 차내리다 가다,이 주소로 갈까요?
NIA-2020,644,,TRUE,손바닥찍다 차내리다 가다,이 주소로 갈까요?
NIA-2020,645,,TRUE,손바닥찍다 도착 가다,이 주소로 갈까요?
NIA-2020,646,,TRUE,손바닥찍다 목적 가다,이 주소로 갈까요?
NIA-2020,647,,TRUE,손바닥찍다 곳 가다,이 주소로 갈까요?
NIA-2020,648,,TRUE,손바닥찍다 가다 내리다,이 주소로 갈까요?
NIA-2020,649,,TRUE,손바닥찍다 가다 내리다,이 주소로 갈까요?
NIA-2020,650,,TRUE,손바닥찍다 가다 차내리다,이 주소로 갈까요?
NIA-2020,651,,TRUE,공항 내리다 가다,김포공항으로 갈까요?
NIA-2020,652,,TRUE,공항 내리다 가다,김포공항으로 갈까요?
NIA-2020,653,,TRUE,공항 차내리다 가다,김포공항으로 갈까요?
NIA-2020,654,,TRUE,공항 차내리다 가다,김포공항으로 갈까요?
NIA-2020,655,,TRUE,공항 도착 가다,김포공항으로 갈까요?
NIA-2020,656,,TRUE,공항 목적 가다,김포공항으로 갈까요?
NIA-2020,657,,TRUE,공항 곳 가다,김포공항으로 갈까요?
NIA-2020,658,,TRUE,공항 가다 내리다,김포공항으로 갈까요?
NIA-2020,659,,TRUE,공항 가다 내리다,김포공항으로 갈까요?
NIA-2020,660,,TRUE,공항 가다 차내리다,김포공항으로 갈까요?
NIA-2020,661,,TRUE,지름길 내리다 가다,지름길로 갈까요?
NIA-2020,662,,TRUE,지름길 내리다 가다,지름길로 갈까요?
NIA-2020,663,,TRUE,지름길 차내리다 가다,지름길로 갈까요?
NIA-2020,664,,TRUE,지름길 차내리다 가다,지름길로 갈까요?
NIA-2020,665,,TRUE,지름길 도착 가다,지름길로 갈까요?
NIA-2020,666,,TRUE,지름길 목적 가다,지름길로 갈까요?
NIA-2020,667,,TRUE,지름길 곳 가다,지름길로 갈까요?
NIA-2020,668,,TRUE,지름길 가다 내리다,지름길로 갈까요?
NIA-2020,669,,TRUE,지름길 가다 내리다,지름길로 갈까요?
NIA-2020,670,,TRUE,지름길 가다 차내리다,지름길로 갈까요?
NIA-2020,671,,TRUE,나사렛 내리다 가다,나사렛대학교로 갈까요?
NIA-2020,672,,TRUE,나사렛 내리다 가다,나사렛대학교로 갈까요?
NIA-2020,673,,TRUE,나사렛 차내리다 가다,나사렛대학교로 갈까요?
NIA-2020,674,,TRUE,나사렛 차내리다 가다,나사렛대학교로 갈까요?
NIA-2020,675,,TRUE,나사렛 도착 가다,나사렛대학교로 갈까요?
NIA-2020,676,,FALSE,학교 안 도착,학교 안으로 들어가주세요.
NIA-2020,677,,TRUE,나사렛 목적 가다,나사렛대학교로 갈까요?
NIA-2020,678,,TRUE,나사렛 곳 가다,나사렛대학교로 갈까요?
NIA-2020,679,,TRUE,나사렛 가다 내리다,나사렛대학교로 갈까요?
NIA-2020,680,,TRUE,나사렛 가다 내리다,나사렛대학교로 갈까요?
NIA-2020,681,,FALSE,샛길 가다,골목으로 들어가주세요.
NIA-2020,682,,FALSE,샛길 저기,골목으로 들어가주세요.
NIA-2020,683,,FALSE,샛길 저기 가다,골목으로 들어가주세요.
NIA-2020,684,,FALSE,샛길 저기 곳,골목으로 들어가주세요.
NIA-2020,685,,FALSE,샛길 곳,골목으로 들어가주세요.
NIA-2020,686,,FALSE,샛길 도착,골목으로 들어가주세요.
NIA-2020,687,,FALSE,샛길 가다,골목으로 들어가주세요.
NIA-2020,688,,FALSE,샛길 가다,골목으로 들어가주세요.
NIA-2020,689,,FALSE,저기 샛길 가다,골목으로 들어가주세요.
NIA-2020,690,,FALSE,샛길 문 가다,골목으로 들어가주세요.
NIA-2020,691,,FALSE,아파트 가다,아파트 단지 안으로 가주세요.
NIA-2020,692,,FALSE,아파트 저기,아파트 단지 안으로 가주세요.
NIA-2020,693,,FALSE,아파트 저기 가다,아파트 단지 안으로 가주세요.
NIA-2020,694,,FALSE,아파트 저기 곳,아파트 단지 안으로 가주세요.
NIA-2020,695,,FALSE,아파트 안 곳,아파트 단지 안으로 가주세요.
NIA-2020,696,,FALSE,아파트 안 도착,아파트 단지 안으로 가주세요.
NIA-2020,697,,FALSE,아파트 안 가다,아파트 단지 안으로 가주세요.
NIA-2020,698,,FALSE,아파트 가다,아파트 단지 안으로 가주세요.
NIA-2020,699,,FALSE,저기 아파트 가다,아파트 단지 안으로 가주세요.
NIA-2020,700,,FALSE,아파트 문 가다,아파트 단지 안으로 가주세요.
NIA-2020,701,,TRUE,학교 저기,학교 안으로 들어갈까요?
NIA-2020,702,,TRUE,학교 저기 가다,학교 안으로 들어갈까요?
NIA-2020,703,,TRUE,학교 저기 곳,학교 안으로 들어갈까요?
NIA-2020,704,,TRUE,학교 안 곳,학교 안으로 들어갈까요?
NIA-2020,705,,TRUE,학교 안 도착,학교 안으로 들어갈까요?
NIA-2020,706,,TRUE,학교 안 가다,학교 안으로 들어갈까요?
NIA-2020,707,,TRUE,샛길 저기,골목으로 들어갈까요?
NIA-2020,708,,TRUE,샛길 저기 가다,골목으로 들어갈까요?
NIA-2020,709,,TRUE,샛길 저기 곳,골목으로 들어갈까요?
NIA-2020,710,,TRUE,샛길 곳,골목으로 들어갈까요?
NIA-2020,711,,TRUE,샛길 도착,골목으로 들어갈까요?
NIA-2020,712,,TRUE,샛길 여기 가다,골목으로 들어갈까요?
NIA-2020,713,,TRUE,아파트 저기,아파트 단지 안으로 들어갈까요?
NIA-2020,714,,TRUE,아파트 저기 가다,아파트 단지 안으로 들어갈까요?
NIA-2020,715,,TRUE,아파트 저기 곳,아파트 단지 안으로 들어갈까요?
NIA-2020,716,,TRUE,아파트 안 곳,아파트 단지 안으로 들어갈까요?
NIA-2020,717,,TRUE,아파트 안 도착,아파트 단지 안으로 들어갈까요?
NIA-2020,718,,TRUE,아파트 안 가다,아파트 단지 안으로 들어갈까요?
NIA-2020,719,,FALSE,나사렛 전 내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,720,,FALSE,나사렛 전 내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,721,,FALSE,나사렛 전 차내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,722,,FALSE,나사렛 전 차내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,723,,FALSE,나사렛 전 곳,나사렛대학교 못가서 내려주세요.
NIA-2020,724,,FALSE,나사렛 전 도착 내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,725,,FALSE,나사렛 전 도착 내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,726,,FALSE,나사렛 전 도착 차내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,727,,FALSE,나사렛 전 도착 차내리다,나사렛대학교 못가서 내려주세요.
NIA-2020,728,,FALSE,나사렛 전 저기,나사렛대학교 못가서 내려주세요.
NIA-2020,729,,FALSE,저기 맞다,저기서 내려주세요.
NIA-2020,730,,FALSE,저기 맞다,저기서 내려주세요.
NIA-2020,731,,FALSE,저기 내리다 맞다,저기서 내려주세요.
NIA-2020,732,,FALSE,저기 내리다 맞다,저기서 내려주세요.
NIA-2020,733,,FALSE,저기 차내리다 맞다,저기서 내려주세요.
NIA-2020,734,,FALSE,저기 차내리다 맞다,저기서 내려주세요.
NIA-2020,735,,FALSE,저기 내리다 맞다,저기서 내려주세요.
NIA-2020,736,,FALSE,저기 내리다 맞다,저기서 내려주세요.
NIA-2020,737,,FALSE,저기 차내리다 맞다,저기서 내려주세요.
NIA-2020,738,,FALSE,저기 차내리다 맞다,저기서 내려주세요.
NIA-2020,739,,FALSE,기차 곳 맞다,기차역에서 내려주세요.
NIA-2020,740,,FALSE,기차 곳 맞다,기차역에서 내려주세요.
NIA-2020,741,,FALSE,기차 곳 내리다 맞다,기차역에서 내려주세요.
NIA-2020,742,,FALSE,기차 곳 내리다 맞다,기차역에서 내려주세요.
NIA-2020,743,,FALSE,기차 곳 차내리다 맞다,기차역에서 내려주세요.
NIA-2020,744,,FALSE,기차 곳 차내리다 맞다,기차역에서 내려주세요.
NIA-2020,745,,FALSE,기차 곳 내리다 맞다,기차역에서 내려주세요.
NIA-2020,746,,FALSE,기차 곳 내리다 맞다,기차역에서 내려주세요.
NIA-2020,747,,FALSE,기차 곳 차내리다 맞다,기차역에서 내려주세요.
NIA-2020,748,,FALSE,기차 곳 차내리다 맞다,기차역에서 내려주세요.
NIA-2020,749,,FALSE,버스 곳 맞다,버스정류장에서 내려주세요.
NIA-2020,750,,FALSE,버스 곳 맞다,버스정류장에서 내려주세요.
NIA-2020,751,,FALSE,버스 곳 내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,752,,FALSE,버스 곳 내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,753,,FALSE,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,754,,FALSE,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,755,,FALSE,버스 곳 내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,756,,FALSE,버스 곳 내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,757,,FALSE,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,758,,FALSE,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.
NIA-2020,759,,FALSE,건너다,건너편에서 내려주세요.
NIA-2020,760,,FALSE,건너다 내리다,건너편에서 내려주세요.
NIA-2020,761,,FALSE,건너다 내리다,건너편에서 내려주세요.
NIA-2020,762,,FALSE,건너다 차내리다,건너편에서 내려주세요.
NIA-2020,763,,FALSE,건너다 차내리다,건너편에서 내려주세요.
NIA-2020,764,,FALSE,건너다 오케이,건너편에서 내려주세요.
NIA-2020,765,,FALSE,건너다 차두다,건너편에서 내려주세요.
NIA-2020,766,,FALSE,건너다 내리다 오케이,건너편에서 내려주세요.
NIA-2020,767,,FALSE,건너다 내리다 오케이,건너편에서 내려주세요.
NIA-2020,768,,FALSE,건너다 차내리다 오케이,건너편에서 내려주세요.
NIA-2020,769,,FALSE,건너다 차내리다 오케이,건너편에서 내려주세요.
NIA-2020,770,,FALSE,시청,시청으로 가주세요.
NIA-2020,771,,FALSE,시청 내리다,시청으로 가주세요.
NIA-2020,772,,FALSE,시청 내리다,시청으로 가주세요.
NIA-2020,773,,FALSE,시청 차내리다,시청으로 가주세요.
NIA-2020,774,,FALSE,시청 차내리다,시청으로 가주세요.
NIA-2020,775,,FALSE,시청 오케이,시청으로 가주세요.
NIA-2020,776,,FALSE,시청 차두다,시청으로 가주세요.
NIA-2020,777,,FALSE,시청 내리다 오케이,시청으로 가주세요.
NIA-2020,778,,FALSE,시청 내리다 오케이,시청으로 가주세요.
NIA-2020,779,,FALSE,시청 차내리다 오케이,시청으로 가주세요.
NIA-2020,780,,FALSE,시청 차내리다 오케이,시청으로 가주세요.
NIA-2020,781,,TRUE,여기 맞다,여기서 내려드릴까요?
NIA-2020,782,,TRUE,여기 맞다,여기서 내려드릴까요?
NIA-2020,783,,TRUE,여기 내리다 맞다,여기서 내려드릴까요?
NIA-2020,784,,TRUE,여기 내리다 맞다,여기서 내려드릴까요?
NIA-2020,785,,TRUE,여기 차내리다 맞다,여기서 내려드릴까요?
NIA-2020,786,,TRUE,여기 차내리다 맞다,여기서 내려드릴까요?
NIA-2020,787,,TRUE,여기 내리다 맞다,여기서 내려드릴까요?
NIA-2020,788,,TRUE,여기 내리다 맞다,여기서 내려드릴까요?
NIA-2020,789,,TRUE,여기 차내리다 맞다,여기서 내려드릴까요?
NIA-2020,790,,TRUE,여기 차내리다 맞다,여기서 내려드릴까요?
NIA-2020,791,,TRUE,지금 맞다,지금 내려드릴까요?
NIA-2020,792,,TRUE,지금 맞다,지금 내려드릴까요?
NIA-2020,793,,TRUE,지금 내리다 맞다,지금 내려드릴까요?
NIA-2020,794,,TRUE,지금 내리다 맞다,지금 내려드릴까요?
NIA-2020,795,,TRUE,지금 차내리다 맞다,지금 내려드릴까요?
NIA-2020,796,,TRUE,지금 차내리다 맞다,지금 내려드릴까요?
NIA-2020,797,,TRUE,지금 내리다 맞다,지금 내려드릴까요?
NIA-2020,798,,TRUE,지금 내리다 맞다,지금 내려드릴까요?
NIA-2020,799,,TRUE,지금 차내리다 맞다,지금 내려드릴까요?
NIA-2020,800,,TRUE,지금 차내리다 맞다,지금 내려드릴까요?
NIA-2020,801,,TRUE,기차 곳 맞다,기차역에서 내려드릴까요?
NIA-2020,802,,TRUE,기차 곳 맞다,기차역에서 내려드릴까요?
NIA-2020,803,,TRUE,기차 곳 내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,804,,TRUE,기차 곳 내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,805,,TRUE,기차 곳 차내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,806,,TRUE,기차 곳 차내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,807,,TRUE,기차 곳 내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,808,,TRUE,기차 곳 내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,809,,TRUE,기차 곳 차내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,810,,TRUE,기차 곳 차내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,811,,TRUE,버스 곳 맞다,버스정류장에서 내려드릴까요?
NIA-2020,812,,TRUE,버스 곳 맞다,버스정류장에서 내려드릴까요?
NIA-2020,813,,TRUE,버스 곳 내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,814,,TRUE,버스 곳 내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,815,,TRUE,버스 곳 차내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,816,,TRUE,버스 곳 차내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,817,,TRUE,버스 곳 내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,818,,TRUE,버스 곳 내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,819,,TRUE,버스 곳 차내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,820,,TRUE,버스 곳 차내리다 맞다,버스정류장에서 내려드릴까요?
NIA-2020,821,,TRUE,건너다,건너편에서 내려드릴까요?
NIA-2020,822,,TRUE,건너다 내리다,건너편에서 내려드릴까요?
NIA-2020,823,,TRUE,건너다 내리다,건너편에서 내려드릴까요?
NIA-2020,824,,TRUE,건너다 차내리다,건너편에서 내려드릴까요?
NIA-2020,825,,TRUE,건너다 차내리다,건너편에서 내려드릴까요?
NIA-2020,826,,TRUE,건너다 오케이,건너편에서 내려드릴까요?
NIA-2020,827,,TRUE,건너다 차두다,건너편에서 내려드릴까요?
NIA-2020,828,,TRUE,건너다 내리다 오케이,건너편에서 내려드릴까요?
NIA-2020,829,,TRUE,건너다 내리다 오케이,건너편에서 내려드릴까요?
NIA-2020,830,,TRUE,건너다 차내리다 오케이,건너편에서 내려드릴까요?
NIA-2020,831,,TRUE,건너다 차내리다 오케이,건너편에서 내려드릴까요?
NIA-2020,832,X,TRUE,시청,시청에서 내려드릴까요?
NIA-2020,833,,TRUE,시청 내리다,시청에서 내려드릴까요?
NIA-2020,834,,TRUE,시청 내리다,시청에서 내려드릴까요?
NIA-2020,835,,TRUE,시청 차내리다,시청에서 내려드릴까요?
NIA-2020,836,,TRUE,시청 차내리다,시청에서 내려드릴까요?
NIA-2020,837,,TRUE,시청 오케이,시청에서 내려드릴까요?
NIA-2020,838,,TRUE,시청 차두다,시청에서 내려드릴까요?
NIA-2020,839,,TRUE,시청 내리다 오케이,시청에서 내려드릴까요?
NIA-2020,840,,TRUE,시청 내리다 오케이,시청에서 내려드릴까요?
NIA-2020,841,,TRUE,시청 차내리다 오케이,시청에서 내려드릴까요?
NIA-2020,842,,TRUE,시청 차내리다 오케이,시청에서 내려드릴까요?
NIA-2020,843,X,TRUE,나사렛,나사렛대학교에서 내려드릴까요?
NIA-2020,844,,TRUE,나사렛 내리다,나사렛대학교에서 내려드릴까요?
NIA-2020,845,,TRUE,나사렛 내리다,나사렛대학교에서 내려드릴까요?
NIA-2020,846,,TRUE,나사렛 차내리다,나사렛대학교에서 내려드릴까요?
NIA-2020,847,,TRUE,나사렛 차내리다,나사렛대학교에서 내려드릴까요?
NIA-2020,848,,TRUE,나사렛 오케이,나사렛대학교에서 내려드릴까요?
NIA-2020,849,,TRUE,나사렛 가다,나사렛대학교에서 내려드릴까요?
NIA-2020,850,,TRUE,나사렛 내리다 오케이,나사렛대학교에서 내려드릴까요?
NIA-2020,851,,TRUE,나사렛 내리다 오케이,나사렛대학교에서 내려드릴까요?
NIA-2020,852,,TRUE,나사렛 차내리다 오케이,나사렛대학교에서 내려드릴까요?
NIA-2020,853,,TRUE,나사렛 차내리다 오케이,나사렛대학교에서 내려드릴까요?
NIA-2020,854,,FALSE,차 뒤 트렁크열다,트렁크 좀 열어주세요.
NIA-2020,855,,FALSE,차 엉덩이 트렁크열다,트렁크 좀 열어주세요.
NIA-2020,856,,FALSE,차 뒤 들어올리다,트렁크 좀 열어주세요.
NIA-2020,857,,FALSE,차 뒤 엉덩이 들어올리다,트렁크 좀 열어주세요.
NIA-2020,858,,TRUE,차 트렁크열다,트렁크 좀 열어드릴까요?
NIA-2020,859,,TRUE,차 뒤 트렁크열다,트렁크 좀 열어드릴까요?
NIA-2020,860,,TRUE,차 엉덩이 트렁크열다,트렁크 좀 열어드릴까요?
NIA-2020,861,,TRUE,차 뒤 들어올리다,트렁크 좀 열어드릴까요?
NIA-2020,862,,TRUE,차 뒤 엉덩이 들어올리다,트렁크 좀 열어드릴까요?
NIA-2020,863,X,TRUE,한국농아인협회,한국농아인협회에서 내려드릴까요?
NIA-2020,864,,TRUE,한국농아인협회 내리다,한국농아인협회에서 내려드릴까요?
NIA-2020,865,,TRUE,한국농아인협회 내리다,한국농아인협회에서 내려드릴까요?
NIA-2020,866,,TRUE,한국농아인협회 차내리다,한국농아인협회에서 내려드릴까요?
NIA-2020,867,,TRUE,한국농아인협회 차내리다,한국농아인협회에서 내려드릴까요?
NIA-2020,868,,TRUE,한국농아인협회 오케이,한국농아인협회에서 내려드릴까요?
NIA-2020,869,,TRUE,한국농아인협회 가다,한국농아인협회에서 내려드릴까요?
NIA-2020,870,,TRUE,한국농아인협회 내리다 오케이,한국농아인협회에서 내려드릴까요?
NIA-2020,871,,TRUE,한국농아인협회 내리다 오케이,한국농아인협회에서 내려드릴까요?
NIA-2020,872,,TRUE,한국농아인협회 차내리다 오케이,한국농아인협회에서 내려드릴까요?
NIA-2020,873,X,TRUE,서울농아인협회,서울농아인협회에서 내려드릴까요?
NIA-2020,874,,TRUE,서울농아인협회 내리다,서울농아인협회에서 내려드릴까요?
NIA-2020,875,,TRUE,서울농아인협회 내리다,서울농아인협회에서 내려드릴까요?
NIA-2020,876,,TRUE,서울농아인협회 차내리다,서울농아인협회에서 내려드릴까요?
